182,Milwaukee,31,12,19,0.387,-7.22,-3.91,7,11,7,8,4,9,72.6,24.4,55.7,0.438,6.84,19.7,0.346,17,23.7,10.1,37.3,12.4,5.71,3.16,15,18.5,,
183,Minnesota,31,15,16,0.484,16.39,11.55,8,12,11,5,2,10,66.3,24.4,59.7,0.408,5.71,18.6,0.307,11.8,16.7,10.7,36.2,12.8,5.23,3.55,10.7,16.5,,
184,Mississippi State,31,20,11,0.645,12.21,6.96,11,7,14,2,4,7,68.1,24.2,57.1,0.424,6.45,20.7,0.312,13.2,18,10,30.5,12.2,7.1,2.97,11.5,18.5,,
185,Mississippi Valley State,30,3,27,0.1,-29.08,-7.68,3,15,1,8,2,19,89.7,32.5,67.6,0.481,7.97,23.4,0.341,16.7,24.4,13.7,47.8,19.3,7.1,3.07,14,15,,
186,Mississippi,32,15,17,0.469,7.37,6.9,6,12,12,5,1,10,68.5,23.3,54.7,0.426,5.53,19,0.292,16.4,22.2,9.56,34.9,12.8,6.06,3.84,13.6,18.6,,
187,Missouri-Kansas City,30,16,14,0.533,-6.07,-3.62,8,7,9,4,5,8,65.9,21.6,50.5,0.428,5.07,17,0.297,17.5,23.2,8.83,33.5,10.8,5.8,4.23,15.2,16.2,,
188,Missouri State,33,16,17,0.485,3.5,0.71,9,9,11,4,3,10,67.8,23.8,55.2,0.431,7.21,21.4,0.338,13,18.3,7.7,30.9,11.2,6.18,2.97,12.5,16.7,,
189,Missouri,31,15,16,0.484,8.51,6.54,7,11,12,4,2,10,65.2,20.9,51.2,0.408,5.58,19.4,0.288,17.8,24.5,9.32,33.1,10.3,5.94,3.45,14.1,18.8,,
190,Monmouth,31,18,13,0.581,-4.51,-5.19,12,8,11,2,6,10,70.6,23.4,54.9,0.425,7.65,22.2,0.344,16.2,22.9,9.9,38.3,12,6.03,3.35,16.3,19.5,,
191,Montana State,31,16,15,0.516,-5.01,-2.29,10,10,9,5,5,10,67,23.8,57.6,0.413,7.45,23.6,0.316,11.9,17.1,9.03,33.4,12.1,6.48,3.42,11.3,18.4,,
192,Montana,31,18,13,0.581,0.59,-1.52,14,6,12,3,6,10,68.5,23,52.9,0.434,5.65,16.7,0.338,16.8,23.5,8.06,33.8,10.4,5.94,2.77,14.3,16.7,,
193,Morehead State,32,13,19,0.406,-10.96,-6.42,7,11,11,4,2,14,70,25.6,59.8,0.427,7.22,22.4,0.323,11.7,16.6,10.3,36.4,12.1,5.97,4.88,12.6,16.7,,
194,Morgan State,31,15,16,0.484,-12.82,-9.18,9,7,8,6,7,7,70.9,22.5,55.4,0.407,6.61,21.5,0.308,19.2,27.4,10.7,34.9,11.3,6.84,3.42,14.3,19.5,,
195,Mount St. Mary's,32,11,21,0.344,-9.56,-6.47,7,11,8,6,3,15,66.6,24,55.5,0.432,7.25,20.4,0.355,11.4,16.3,9.34,35,12.4,5.5,3.47,11.4,18.1,,
196,Murray State,32,23,9,0.719,1.99,-6.08,15,3,15,0,6,6,64.7,22.9,57.3,0.4,6.47,20.8,0.311,12.3,17.9,8.84,31.7,10.5,6.03,3.59,12.9,18.8,,
